Open,High,Low,Close,Adj Close,Volume
297984.96875,306729.3125,289484.71875,294544.96875,294544.96875,25189812456
294364.96875,295972.8125,269979.28125,270785.6875,270785.6875,44184059409
272855.21875,273824.9375,260568.578125,270740.375,270740.375,39442471261
270827.25,281043.375,269689.375,274379.3125,274379.3125,28405920000
274416.84375,283357.5625,270850.03125,272406.28125,272406.28125,19049550477
272346.75,280319.46875,272346.75,278767.9375,278767.9375,17688781657
278704.0,279143.96875,265770.75,267768.25,267768.25,23939429062
267951.40625,275871.03125,264642.46875,273887.53125,273887.53125,25460122400
273807.84375,275761.96875,268704.78125,270595.3125,270595.3125,25120122560
270594.21875,272052.5,265956.0625,271690.125,271690.125,25136323500
271489.03125,277413.375,268264.21875,275993.03125,275993.03125,28659728436
276068.3125,279135.53125,275505.25,276061.4375,276061.4375,25125171368
