584,알뜰교통카드 COOKIE CHECK,우리카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/584/card_img/21328/584card.png
585,행복한 체크카드,우체국,해외겸용 없음,전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/585/card_img/21340/585card.png
586,어피치 스윗 체크카드,NH농협카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,UnionPay,https://api.card-gorilla.com:8080/storage/card/586/card_img/21342/586card.png
587,모두의 쇼핑,하나카드,"국내전용 15,000원 해외겸용 15,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/587/card_img/21344/587card.png
588,네이버페이 우리카드 체크,우리카드,"국내전용 5,000원 해외겸용 5,000원",전월실적없음,BCmastercard,https://api.card-gorilla.com:8080/storage/card/588/card_img/21345/588card.png
589,토스 신용카드,하나카드,"국내전용 10,000원 해외겸용 10,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/589/card_img/21346/589card.png
590,카카오뱅크 신한카드,신한카드,"국내전용 15,000원 해외겸용 15,000원",전월실적없음,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/590/card_img/21347/590card.png
591,카카오뱅크 KB국민카드,KB국민카드,"국내전용 15,000원 해외겸용 15,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/591/card_img/21348/591card.png
592,카카오뱅크 삼성카드,삼성카드,"국내전용 7,000원 해외겸용 7,000원",전월실적없음,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/592/card_img/28060/592card.png
593,카카오뱅크 씨티카드,씨티카드,"국내전용 6,000원 해외겸용 7,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/593/card_img/21360/593card.png
594,카드의정석 삼성디지털프라자,우리카드,"국내전용 20,000원 해외겸용 20,000원",전월실적30만원 이상,VISABC,https://api.card-gorilla.com:8080/storage/card/594/card_img/21361/594card.png
595,아이파킹 크레딧 카,우리카드,"국내전용 15,000원 해외겸용 18,000원",전월실적30만원 이상,VISABC,https://api.card-gorilla.com:8080/storage/card/595/card_img/21362/595card.png
596,셀리턴 우리카드,우리카드,"국내전용 15,000원 해외겸용 20,000원",전월실적없음,VISABC,https://api.card-gorilla.com:8080/storage/card/596/card_img/21363/596card.png
597,AK우리카드,우리카드,"국내전용 12,000원 해외겸용 12,000원",전월실적30만원 이상,VISABCmastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/597/card_img/21364/597card.png
598,AK우리카드 VIP,우리카드,"국내전용 25,000원 해외겸용 25,000원",전월실적30만원 이상,VISAmastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/598/card_img/21365/598card.png
599,AK우리카드 체크,우리카드,"국내전용 3,000원 해외겸용 3,000원",전월실적30만원 이상,VISABCmastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/599/card_img/21366/599card.png
604,씨티 프리미어마일 대한항공,씨티카드,"해외겸용 120,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/604/card_img/21371/604card.png
605,씨티 프리미어마일 아시아나,씨티카드,"해외겸용 120,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/605/card_img/21372/605card.png
606,카드의정석 UNTACT,우리카드,"국내전용 12,000원 해외겸용 12,000원",전월실적40만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/606/card_img/21373/606card.png
607,카드의정석 UNTACT PLATINUM,우리카드,"국내전용 25,000원 해외겸용 25,000원",전월실적40만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/607/card_img/21374/607card.png
608,현대카드ZERO Edition2(할인형),현대카드,"국내전용 10,000원 해외겸용 10,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/608/card_img/27229/608card.png
609,현대카드ZERO MOBILE Edition2(할인형),현대카드,"국내전용 10,000원 해외겸용 10,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/609/card_img/27230/608card.png
610,현대카드ZERO Edition2(포인트형),현대카드,"국내전용 10,000원 해외겸용 10,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/610/card_img/27232/608card.png
611,현대카드ZERO MOBILE Edition2(포인트형),현대카드,"국내전용 10,000원 해외겸용 10,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/611/card_img/27231/608card.png
612,펫블리(PETvely) 카드,NH농협카드,"해외겸용 23,000원 해외겸용 25,000원",전월실적30만원 이상,mastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/612/card_img/21379/612card.png
613,신한카드 YaY,신한카드,"국내전용 23,000원 해외겸용 26,000원",전월실적50만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/613/card_img/21380/613card.gif
614,위글위글 첵첵 체크카드,KB국민카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/614/card_img/21381/614card.png
615,Easy ring 티타늄카드,KB국민카드,"국내전용 30,000원 해외겸용 30,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/615/card_img/21382/615card.png
616,다이소 삼성카드,삼성카드,"국내전용 8,000원 해외겸용 8,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/616/card_img/28061/616card.png
617,카드의정석 UniMile in JEJU,우리카드,"국내전용 15,000원 해외겸용 15,000원",전월실적30만원 이상,BCUnionPay,https://api.card-gorilla.com:8080/storage/card/617/card_img/21384/617card.png
618,신한카드 Hey Young 체크,신한카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/618/card_img/21385/618card.png
620,LOCA CLASSIC,롯데카드,"국내전용 20,000원 해외겸용 20,000원",전월실적150만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/620/card_img/21386/620card.png
621,LOCA for Auto,롯데카드,"국내전용 20,000원 해외겸용 20,000원",전월실적150만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/621/card_img/21387/621card.png
622,LOCA for Coffee,롯데카드,"국내전용 20,000원 해외겸용 20,000원",전월실적150만원 이상,,https://api.card-gorilla.com:8080/storage/card/622/card_img/21388/622card.png
623,LOCA for Edu,롯데카드,"국내전용 20,000원 해외겸용 20,000원",전월실적150만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/623/card_img/21389/623card.png
624,LOCA for Health,롯데카드,"국내전용 20,000원 해외겸용 20,000원",전월실적150만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/624/card_img/21390/624card.png
625,LOCA for Shopping,롯데카드,"국내전용 20,000원 해외겸용 20,000원",전월실적150만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/625/card_img/21391/625card.png
626,LOCA PLATINUM 할인형,롯데카드,"국내전용 100,000원 해외겸용 100,000원",전월실적150만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/626/card_img/29021/626card.png
627,LOCA PLATINUM 마일리지형,롯데카드,"국내전용 100,000원 해외겸용 100,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/627/card_img/29022/627card.png
