1295,코레일멤버십 삼성에스마일플래티늄카드,삼성카드,"해외겸용 120,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1295/card_img/20989/1295card.png
1296,인터파크G마켓 삼성지엔미포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1296/card_img/20988/1296card.png
1297,부빅스(BUVIX)카드,BNK부산은행,"국내전용 2,000원 해외겸용 5,000원",전월실적30만원 이상,VISABCmastercard,https://api.card-gorilla.com:8080/storage/card/1297/card_img/20987/1297card.png
1298,청소년 후불교통 체크카드,BNK부산은행,국내전용 없음,전월실적20만원 이상,BC,https://api.card-gorilla.com:8080/storage/card/1298/card_img/20986/1298card.png
1299,가온 플래티늄바우처카드,KB국민카드,"국내전용 100,000원 해외겸용 100,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1299/card_img/20985/1299card.png
1300,인터파크G마켓 삼성애니패스포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1300/card_img/20977/1300card.png
1301,미래에셋 자산관리 CMA 롯데DC플러스 카드,롯데카드,"해외겸용 10,000원",전월실적20만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1301/card_img/20976/1301card.jpg
1302,제주도 삼성체크카드,삼성카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1302/card_img/28075/1302card.png
1303,캐디카드,BNK부산은행,"국내전용 2,000원 해외겸용 5,000원",전월실적30만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/1303/card_img/20973/1303card.png
1304,제주항공 삼성카드,삼성카드,"해외겸용 20,000원",전월실적없음,,https://api.card-gorilla.com:8080/storage/card/1304/card_img/20972/1304card.png
1305,길한통 체크카드,하나카드,없음,전월실적없음,UnionPay,https://api.card-gorilla.com:8080/storage/card/1305/card_img/20969/1305card.png
1306,전주코아백화점 삼성카드,삼성카드,"국내전용 3,000원 해외겸용 없음",전월실적20만원 이상,,https://api.card-gorilla.com:8080/storage/card/1306/card_img/20967/1306card.png
1307,가온 플래티늄카드,KB국민카드,"국내전용 100,000원 해외겸용 100,000원",전월실적없음,VISAmastercardAMEX,https://api.card-gorilla.com:8080/storage/card/1307/card_img/20964/1307card.png
1308,인디안NII 삼성애니패스카드,삼성카드,"해외겸용 7,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1308/card_img/20962/1308card.png
1309,가온글로벌카드,KB국민카드,"국내전용 15,000원 해외겸용 20,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1309/card_img/20960/1309card.png
1310,인디안NII 삼성지엔미카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1310/card_img/20959/1310card.png
1311,BNK 프렌즈 체크카드,BNK부산은행,"해외겸용 1,000원",전월실적없음,BC Globalmastercard,https://api.card-gorilla.com:8080/storage/card/1311/card_img/20958/1311card.png
1312,골든대로 체크카드,KB국민카드,국내전용 없음 해외겸용 없음,전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1312/card_img/20957/1312card.png
1313,롯데포인트 플러스 PiTaPa 카드,롯데카드,"해외겸용 5,000원",전월실적없음,JCB,https://api.card-gorilla.com:8080/storage/card/1313/card_img/20954/1313card.jpg
1314,BNK 부자되세요 더 마일리지 체크카드,BNK부산은행,"해외겸용 1,000원",전월실적30만원 이상,UnionPay,https://api.card-gorilla.com:8080/storage/card/1314/card_img/20953/1314card.png
1315,골든라이프올림카드,KB국민카드,"국내전용 15,000원 해외겸용 20,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1315/card_img/20866/1315card.png
1316,유안타WCMA 신세계삼성지엔미P 체크카드,삼성카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1316/card_img/20865/1316card.png
1317,유안타WCMA 신세계삼성애니패스P 체크카드,삼성카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1317/card_img/20864/1317card.png
1318,우리은행 삼성애니패스포인트 체크카드,삼성카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1318/card_img/20863/1318card.png
1319,유안타WCMA 삼성플래티늄체크카드,삼성카드,"해외겸용 1,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1319/card_img/20862/1319card.png
1320,오라클 삼성티클래스카드,삼성카드,"해외겸용 20,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1320/card_img/20861/1320card.png
1321,REX카드(기업),BNK부산은행,"해외겸용 150,000 원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1321/card_img/20860/1321card.png
1322,REX카드(개인),BNK부산은행,"해외겸용 150,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1322/card_img/20859/1322card.png
1323,카카오페이 체크카드,BNK부산은행,"국내전용 1,000원",전월실적10만원 이상,BC,https://api.card-gorilla.com:8080/storage/card/1323/card_img/20858/1323card.png
1324,국민행복체크카드,BNK부산은행,"국내전용 1,000원",전월실적없음,BC,https://api.card-gorilla.com:8080/storage/card/1324/card_img/20857/1324card.png
